"Year","PopulationDensity","Pop0to14Pct","Pop15to64Pct","Pop65PlusPct","BirthsTotal","DeathsTotal","BirthRatePer1000","DeathRatePer1000","FertilityRate","MedianAge","SexRatio","DependencyRatio","NetMigration","PopulationGrowth","RuralPopulation","UrbanPopulation","UrbanizationPct","UrbanGrowthRate"
"1960","N/A","41.0891184978157","54.0885581560739","4.82232334611042","41.589","12.225","41.589","12.225","6.273","653817","1.064","84.8819902963466","N/A","N/A","27749739","4782194","14.7","N/A"
"1961","102.642351531537","41.791816105925","53.3245399099687","4.88364398410623","35.639","11.724","35.639","11.724","5.476","619282","1.064","87.5309194769171","N/A","N/A","28387343","5021716","15.031","4.88722709485777"
"1962","105.34443454484","42.4231863692028","52.6405928484689","4.93622078232829","39.972","11.973","39.972","11.973","6.257","624174.5","1.064","89.9674681591678","N/A","N/A","29018751","5269809","15.369","4.82224110507468"
"1963","108.295496021383","43.0972338840642","51.9333868968743","4.9693792190615","39.952","12.687","39.952","12.687","6.385","677340.5","1.064","92.5543585258034","N/A","N/A","29710057","5539044","15.714","4.98278036793278"
"1964","111.221736458877","43.4443777545685","51.5446535893401","5.01096865609133","38.561","12.313","38.561","12.313","6.285","683751","1.064","94.0065444906932","N/A","N/A","30386144","5815419","16.064","4.86909157133242"
"1965","114.073108236812","43.5008710624619","51.4334666683491","5.06566226918905","37.087","12.477","37.087","12.477","6.156","676482","1.064","94.4259404414363","N/A","N/A","31032595","6097061","16.421","4.72940133911995"
"1966","116.82336170082","43.5899670941382","51.2779936776059","5.13203922825597","35.441","12.396","35.441","12.396","5.968","664836","1.064","95.0154302617967","N/A","N/A","31642748","6382088","16.784","4.56884647458509"
"1967","119.497004516268","43.5481230074842","51.2394607333439","5.2124162591719","34.575","12.411","34.575","12.411","5.883","657047.5","1.064","95.1620825455406","N/A","N/A","32223407","6671673","17.153","4.43753365220769"
"1968","122.076281913423","43.3927662406342","51.3308750565534","5.27635870281245","35.221","14.707","35.221","14.707","6.029","668606.5","1.064","94.8145194064578","N/A","N/A","32769529","6965080","17.529","4.30384401032305"
"1969","124.680008602415","43.1896723226214","51.4972162662912","5.3131114110874","35.077","13.433","35.077","13.433","6.013","687366","1.064","94.1852512004364","N/A","N/A","33313437","7268659","17.911","4.26627246927111"
"1970","127.423976159022","42.9313537614059","51.7353568833175","5.3332893552765","35.187","13.345","35.187","13.345","6.019","702720","1.064","93.2914108064935","N/A","N/A","33885263","7589967","18.3","4.32554257120477"
"1971","130.41652892562","42.7067477276497","51.9655735938297","5.32767867852067","35.679","12.987","35.679","12.987","6.069","725574","1.064","92.4350911486962","N/A","N/A","34640307","7808969","18.396","2.84457013221978"
"1972","133.427042305447","42.4170105858693","52.2959206552619","5.28706875886882","36.371","15.152","36.371","15.152","6.1","753994","1.064","91.2195058375903","N/A","N/A","35398246","8030922","18.492","2.80263959003749"
"1973","136.440016590371","42.0984513112803","52.6647466050923","5.23680208362735","36.891","12.984","36.891","12.984","6.108","783961.5","1.064","89.8803425176672","N/A","N/A","36154956","8254905","18.588","2.75082283344365"
"1974","139.523601339519","41.7671492778998","53.0309216717592","5.20192905034099","35.484","13.453","35.484","13.453","5.781","792701.5","1.064","88.5692305973907","N/A","N/A","36928018","8485519","18.685","2.75534944514493"
"1975","142.809004884943","41.390846436592","53.4161022602224","5.1930513031856","35.086","9.804","35.086","9.804","5.621","793127.5","1.064","87.2094663755865","N/A","N/A","37752484","8730419","18.782","2.84523005374075"
"1976","146.501984699991","41.1678381286516","53.6201379175754","5.21202395377298","34.852","9.003","34.852","9.003","5.461","808709","1.064","86.4970941454025","N/A","N/A","38682016","9002915","18.88","3.07350496665589"
"1977","150.403613014225","40.9600821654678","53.8000553468912","5.23986248764104","34.558","8.834","34.558","8.834","5.291","824802","1.063","85.8734163604269","N/A","N/A","39664216","9290656","18.978","3.14607501112727"
"1978","154.381246735691","40.613691037348","54.1172849250747","5.26902403757725","34.253","8.641","34.253","8.641","5.104","839930","1.064","84.7838467544662","N/A","N/A","40663947","9585605","19.076","3.12533300674466"
"1979","157.848815631817","40.4075731676174","54.2841648795845","5.30826195279806","34.062","8.476","34.062","8.476","4.94","853385","1.064","84.2157826361651","N/A","N/A","41526439","9851772","19.175","2.738884351822"
"1980","161.264865280039","40.2835685124366","54.3771667120895","5.33926477547391","33.499","8.321","33.499","8.321","4.795","863001","1.064","83.9007162269209","N/A","N/A","42387331","10102770","19.247","2.51583061898991"
"1981","165.09920734892","40.1775950918882","54.4751292613112","5.34727564680062","33.428","8.148","33.428","8.148","4.665","876145","1.064","83.5700115618262","N/A","N/A","43361843","10376298","19.309","2.6714523053826"
"1982","169.010688500415","40.1643606278704","54.4912127036325","5.34442666849708","33.584","7.99","33.584","7.99","4.593","898708.5","1.064","83.5158307301117","N/A","N/A","44354502","10656787","19.372","2.66727994508949"
"1983","173.086488064149","40.1635214760587","54.5025694150127","5.3339091089286","33.68","7.873","33.68","7.873","4.524","924409.5","1.065","83.4775854513906","N/A","N/A","45388646","10949275","19.435","2.70762778488814"
"1984","177.289830716765","40.1349423114812","54.5392580171792","5.32579967133958","33.319","7.716","33.319","7.716","4.412","943750","1.065","83.3541647728152","N/A","N/A","46454538","11251529","19.498","2.72307865015961"
"1985","181.4514178623","40.0689671035717","54.6026187685817","5.32841412784659","32.195","7.577","32.195","7.577","4.206","945413","1.065","83.141400727336","N/A","N/A","47507774","11552848","19.561","2.64279561320477"
"1986","185.403692893791","39.9225866027448","54.7306903893625","5.34672300789261","30.717","7.386","30.717","7.386","3.955","928785","1.064","82.7128392342628","N/A","N/A","48503940","11843108","19.625","2.48141083502531"
"1987","189.205969461427","39.6461473817559","54.9731669340791","5.38068568416504","29.23","7.155","29.23","7.155","3.717","904254","1.064","81.9069324197675","N/A","N/A","49459865","12124786","19.688","2.35056921744941"
"1988","193.072684260653","39.2398353505953","55.3402043203462","5.41996032905853","28.713","6.911","28.713","6.911","3.623","892885.5","1.063","80.7004520240934","N/A","N/A","50430434","12412794","19.752","2.34759277081343"
"1989","197.079320409229","38.8357359593084","55.7116247090341","5.45263933165748","29.041","6.848","29.041","6.848","3.641","909363.5","1.063","79.4957541833473","N/A","N/A","51387799","12759549","19.891","2.75522175730233"
"1990","201.249046053642","38.47501744249","56.050174527946","5.47480802956405","28.896","6.773","28.896","6.773","3.602","932517","1.063","78.4115751269167","N/A","N/A","52235295","13269257","20.257","3.91699233551035"
"1991","205.510998801806","38.1034985242954","56.4081712587235","5.48833021698109","28.489","6.673","28.489","6.673","3.524","944409","1.063","77.2792802328883","N/A","N/A","53092671","13799104","20.629","3.91538066995253"
"1992","209.715619527482","37.6992803470976","56.8060171105952","5.49470254230724","27.342","6.54","27.342","6.54","3.353","939125.5","1.063","76.0376881780341","N/A","N/A","53921571","14338766","21.006","3.83631159510538"
"1993","213.789621800977","37.2371834984269","57.2606926952836","5.50212380628946","26.094","6.401","26.094","6.401","3.172","918051.5","1.063","74.6398709319425","N/A","N/A","54703944","14882440","21.387","3.72152159864684"
"1994","217.685308304403","36.69927598418","57.7764961666243","5.52422784919568","24.452","6.224","24.452","6.224","2.941","885925","1.063","73.0807619791337","N/A","N/A","55426556","15427835","21.774","3.59913509916759"
"1995","221.358382746014","36.0749134558613","58.3588473494912","5.56623919464749","22.727","6.021","22.727","6.021","2.7","842692","1.063","71.3536222057356","N/A","N/A","56079350","15970590","22.166","3.45755603667641"
"1996","224.757894251744","35.3545931184615","59.0151006036085","5.63030627793","21.012","5.857","21.012","5.857","2.468","794968","1.064","69.4481556458288","N/A","N/A","56650158","16506289","22.563","3.29925539868944"
"1997","228.046603582291","34.502384536838","59.7836375695581","5.71397789360388","19.573","5.722","19.573","5.722","2.274","750048.5","1.064","67.2698496428235","N/A","N/A","57180684","17046205","22.965","3.21861385077166"
"1998","231.342468278595","33.5149837760557","60.677677955799","5.80733826814531","18.254","5.518","18.254","5.518","2.098","710790.5","1.065","64.8052526056802","N/A","N/A","57701376","17598284","23.371","3.18737989810558"
"1999","234.377252757381","32.471103504676","61.6287466253297","5.90014986999435","17.591","5.459","17.591","5.459","1.999","684026.5","1.068","62.261940609126","N/A","N/A","58118070","18169382","23.817","3.19364724311128"
"2000","248.035784093101","31.4961702476892","62.5196074544952","5.98422229781561","18.018","5.486","18.018","5.486","2.028","689176","1.073","59.9498221104256","N/A","N/A","58348492","18805519","24.374","3.4412520862476"
"2001","250.632810440708","30.6394046245935","63.3052058743947","6.05538950101181","18.123","5.482","18.123","5.482","2.023","710874","1.09","57.9648902578706","N/A","N/A","58526141","19443220","24.937","3.33480325916787"
"2002","253.6539172436","29.8825706634867","64.0062904660404","6.11113887047292","18.095","5.509","18.095","5.509","2.006","719744","1.07","56.2346454755768","N/A","N/A","58676642","20095582","25.511","3.30015667342866"
"2003","256.599403360531","29.1880757495965","64.659470603061","6.15245364734256","18.151","5.564","18.151","5.564","1.999","719805","1.04","54.6563872611096","N/A","N/A","58803996","20759781","26.092","3.25175191988712"
"2004","259.099464637017","28.4837029560429","65.3361009233234","6.18019612063368","17.996","5.73","17.996","5.73","1.968","726967","1.08","53.0547414323825","N/A","N/A","58902123","21436848","26.683","3.20938013603773"
"2005","259.203077001761","27.7250150709141","66.0758536190043","6.19913131008164","17.369","5.751","17.369","5.751","1.887","721716.5","1.06","51.3412154712425","N/A","N/A","58966610","22121703","27.281","3.14478523712373"
"2006","262.689291708627","26.9399503247597","66.8690222585898","6.19102741665049","17.249","5.772","17.249","5.772","1.873","724114.5","1.098","49.5460786338393","N/A","N/A","59252914","22914983","27.888","3.52318132479642"
"2007","267.577137683246","26.2228403061407","67.6224517567152","6.15470793714407","17.537","5.799","17.537","5.799","1.911","759871.5","1.116","47.8798783604028","N/A","N/A","59794518","23838857","28.504","3.952592032822"
"2008","272.308076932914","25.6084036792733","68.2922872888026","6.09930903192412","17.664","5.828","17.664","5.828","1.933","793363.5","1.121","46.4294210539472","N/A","N/A","60365784","24810004","29.128","3.9930062512113"
"2009","276.440290060813","25.0612134100019","68.8842359996053","6.05455059039284","17.528","5.872","17.528","5.872","1.92","793352","1.105","45.1710967600072","N/A","N/A","60727787","25732231","29.762","3.64973717285255"
"2010","279.147229120251","24.5835209604548","69.3695865360201","6.04689250352508","17.409","5.911","17.409","5.911","1.906","783802.5","1.112","44.1553936894184","N/A","N/A","60853918","26601234","30.417","3.32132750315342"
"2011","282.390144405715","24.2245099188846","69.7206595346669","6.05483054644853","17.588","5.947","17.588","5.947","1.927","796849.5","1.119","43.429509513285","N/A","N/A","60972362","27495952","31.08","3.30811881484735"
"2012","285.558644407367","24.0066178711579","69.9019824583313","6.09139967051075","17.892","6.008","17.892","6.008","1.967","819369.5","1.123","43.0574599485855","N/A","N/A","61089028","28421328","31.752","3.31010553962891"
"2013","289.364162813695","23.9358308841883","69.8981123579468","6.1660567578649","17.888","6.057","17.888","6.057","1.98","839507.5","1.138","43.0653799174176","N/A","N/A","61201152","29371952","32.429","3.2900356144746"
"2014","292.559228518274","23.9697389313899","69.7479006720559","6.28236039655418","18.671","6.114","18.671","6.114","2.09","868104","1.122","43.3734893031827","N/A","N/A","61319886","30359692","33.115","3.30756021698554"
"2015","296.1974772084","23.9927664031257","69.5564437980164","6.45078979885794","18.498","6.153","18.498","6.153","2.1","891725","1.128","43.7681325303024","N/A","N/A","61440640","31382614","33.809","3.31382377529812"
"2016","299.948999160782","24.1320754107789","69.2591615032732","6.60876308594788","17.313","6.195","17.313","6.195","2","871552.5","1.122","44.38523018963","N/A","N/A","61560677","32439440","34.51","3.31209211580795"
"2017","303.688787280275","24.4196414223158","68.8126189382964","6.76773963938779","16.764","6.238","16.764","6.238","1.985","835835","1.121","45.3221818606231","N/A","N/A","61662308","33514669","35.213","3.26082571268108"
"2018","307.046632570694","24.5830496141364","68.4353308489645","6.98161953689909","15.438","6.263","15.438","6.263","1.88","787064.5","1.148","46.123352133928","N/A","N/A","61669836","34567483","35.919","3.09302189027882"
"2019","310.034412897339","24.53947310095","68.2102971289821","7.25022977006795","15.513","6.3","15.513","6.3","1.943","766334","1.115","46.6054316189935","N/A","N/A","61580965","35592811","36.628","2.92302367743811"
"2020","312.923153250018","24.3889440319711","68.0438111484831","7.56724481954587","15.234","5.813","15.234","5.813","1.957","778979","1.121","46.9641361395404","N/A","N/A","61456421","36622770","37.34","2.8526498848033"
"2021","315.653937574379","24.1976460962436","67.91665042917","7.88570347458642","14.735","6.653","14.735","6.653","1.942","767039.5","1.12","47.2392982614886","N/A","N/A","61288315","37646783","38.052","2.75773275966557"
"2022","318.032648542413","23.9348788388279","67.8350734151978","8.23004774597438","14.272","6.488","14.272","6.488","1.927","746803","1.111","47.4163647594031","N/A","N/A","61038452","38642203","38.766","2.60975154685066"
"2023","320.175197572656","23.6058472126142","67.7729868011901","8.62116598619573","13.831","6.577","13.831","6.577","1.913","726771","1.109","47.5514131558407","N/A","N/A","60733147","39619045","39.48","2.49649158153454"
"2024","N/A","23.2240051365074","67.7288116705198","9.04718319297274","N/A","N/A","N/A","N/A","N/A","708810.5","N/A","47.6476510341859","N/A","N/A","60395686","40592000","40.195","2.42610658649119"
