"Year","World_Population","World_Urbanization_Pct","VN_Global_Rank","VN_Global_Rank_Population","VN_ASEAN_Rank","VN_ASEAN_Rank_Population","ASEAN_Avg_Fertility_Rate","ASEAN_Countries_Count","Poverty_Rate_215_Day","Poverty_GINI_Index","Poverty_LMIC","Poverty_National","Poverty_UMIC","Poverty_UMIC_Gini","Income_Share_First_10Pct","Income_Share_Top_10Pct","HDI","HDI_Rank","Life_Expectancy","Expected_Years_School","Mean_Years_School","GNI_Per_Capita","GII","GII_Rank"
"1960","3021.51","33.65","","","","","","","","","","","","","","","","","","","","","",""
"1961","3062.77","34.14","","","","","","","","","","","","","","","","","","","","","",""
"1962","3117.37","34.57","","","","","","","","","","","","","","","","","","","","","",""
"1963","3184.06","34.94","","","","","","","","","","","","","","","","","","","","","",""
"1964","3251.25","35.32","","","","","","","","","","","","","","","","","","","","","",""
"1965","3319","35.54","","","","","","","","","","","","","","","","","","","","","",""
"1966","3389.09","35.74","","","","","","","","","","","","","","","","","","","","","",""
"1967","3459.02","35.95","","","","","","","","","","","","","","","","","","","","","",""
"1968","3530.7","36.15","","","","","","","","","","","","","","","","","","","","","",""
"1969","3604.82","36.35","","","","","","","","","","","","","","","","","","","","","",""
"1970","3680.59","36.54","","","","","","","","","","","","","","","","","","","","","",""
"1971","3758.61","36.73","","","","","","","","","","","","","","","","","","","","","",""
"1972","3834.45","36.94","","","","","","","","","","","","","","","","","","","","","",""
"1973","3911.07","37.17","","","","","","","","","","","","","","","","","","","","","",""
"1974","3987.29","37.43","","","","","","","","","","","","","","","","","","","","","",""
"1975","4062.07","37.66","","","","","","","","","","","","","","","","","","","","","",""
"1976","4135.76","37.91","","","","","","","","","","","","","","","","","","","","","",""
"1977","4208.96","38.17","","","","","","","","","","","","","","","","","","","","","",""
"1978","4283.43","38.5","","","","","","","","","","","","","","","","","","","","","",""
"1979","4360.06","38.91","","","","","","","","","","","","","","","","","","","","","",""
"1980","4437.6","39.32","","","","","","","","","","","","","","","","","","","","","",""
"1981","4516.93","39.74","","","","","","","","","","","","","","","","","","","","","",""
"1982","4599.54","40.12","","","","","","","","","","","","","","","","","","","","","",""
"1983","4682.92","40.46","","","","","","","","","","","","","","","","","","","","","",""
"1984","4766.04","40.82","","","","","","","","","","","","","","","","","","","","","",""
"1985","4850.74","41.17","","","","","","","","","","","","","","","","","","","","","",""
"1986","4937.71","41.54","","","","","","","","","","","","","","","","","","","","","",""
"1987","5027.03","41.91","","","","","","","","","","","","","","","","","","","","","",""
"1988","5117.17","42.27","","","","","","","","","","","","","","","","","","","","","",""
"1989","5207.65","42.63","","","","","","","","","","","","","","","","","","","","","",""
"1990","5299.25","42.99","","","","","","","","","","","","","","","0.499","","69.027","7.688290119","4.098730664","2263.62019","",""
"1991","5388.5","43.35","","","","","","","","","","","","","","","0.509","","69.303","8.000851333","4.236048544","2374.854543","",""
"1992","5477.12","43.71","","","","","","","57.5","35.7","75.5","58.1","94.8","60","3.3","28.6","0.521","","69.62","8.313412547","4.373366424","2579.540159","",""
"1993","5564.78","44.06","","","","","","","","","","","","","","","0.531","","69.957","8.625973761","4.510684304","2723.456105","",""
"1994","5650.85","44.42","","","","","","","","","","","","","","","0.543","","70.379","8.938534975","4.648002184","2949.897559","",""
"1995","5736.51","44.78","","","","","","","","","","","","","","","0.556","","70.871","9.251096189","4.785320064","3257.135674","0.392",""
"1996","5822.61","45.13","","","","","","","","","","","","","","","0.567","","71.296","9.563657403","4.955927127","3481.515022","0.383",""
"1997","5908.47","45.48","","","","","","","38.1","35.4","62.7","37.4","89.9","50.6","3.3","29","0.578","","71.67","9.876218617","5.12653419","3686.545301","0.374",""
"1998","5994.04","45.85","","","","","","","","","","","","","","","0.588","","72.283","10.18877983","5.297141254","3821.728166","0.366",""
"1999","6078.4","46.22","","","","","","","","","","","","","","","0.596","","72.575","10.37370014","5.467748317","3968.268563","0.359",""
"2000","6161.88","46.59","","","","","","","","","","","","","","","0.604","","72.746","10.55862045","5.63835538","4205.498465","0.353",""
"2001","6245.11","47.04","","","","","","","","","","","","","","","0.612","","72.984","10.70526981","5.850573922","4423.858118","0.339",""
"2002","6327.56","47.53","","","","","","","43.3","37","65","28.9","89.6","52.3","3.2","29.8","0.621","","73.138","10.93157673","6.062792464","4643.353991","0.331",""
"2003","6409.75","48.02","","","","","","","","","","","","","","","0.63","","73.236","11.15788364","6.275011006","4915.32396","0.326",""
"2004","6492.77","48.52","","","","","","","30.9","36.8","53.4","19.5","85.4","45.2","2.9","28.7","0.638","","73.062","11.38419056","6.487229548","5217.709264","0.323",""
"2005","6575.84","49.03","","","","","","","","","","","","","","","0.647","","73.198","11.61049747","6.69944809","5554.561442","0.317",""
"2006","6659.98","49.52","","","","","","","23.7","35.8","43.9","16","81.8","39.8","2.9","27.7","0.656","","73.293","11.83680439","6.909586058","5866.293867","0.318",""
"2007","6744.49","50.01","","","","","","","","","","","","","","","0.664","","73.385","12.06311131","7.119724026","6186.533382","0.323",""
"2008","6830.51","50.51","","","","","","","17.6","35.6","38.8","14.5","79","36.8","3","28","0.672","","73.455","12.28941822","7.329861994","6459.612953","0.327",""
"2009","6916.59","51","","","","","","","","","","","","","","","0.679","","73.525","12.51572514","7.539999962","6654.354068","0.331",""
"2010","7001.27","51.48","","","","","","","5.2","39.3","13.7","20.7","49.6","17.3","2.5","30.9","0.686","","73.611","12.74203205","7.629999924","7071.442951","0.335",""
"2011","7087.12","51.92","","","","","","","","","","","","","","","0.693","","73.713","12.96833897","7.719999886","7462.734111","0.339",""
"2012","7176.97","52.37","","","","","","","3.7","35.6","9.9","17.2","43.2","14.2","2.8","27.7","0.698","","73.762","13.19464588","7.809999847","7754.73891","0.34",""
"2013","7265.97","52.82","","","","","","","","","","","","","","","0.704","","73.821","13.4209528","7.899999809","8079.871201","0.341",""
"2014","7354.18","53.27","","","","","","","3.4","34.8","8.6","13.5","37.9","12","2.7","26.8","0.711","","73.886","13.64725971","7.989999771","8472.929299","0.341",""
"2015","7441.83","53.74","","","","","","","","","","","","","","","0.717","","73.955","13.87356663","8.079999733","8859.765815","0.339",""
"2016","7529.07","54.2","","","","","","","2.5","35.3","6.2","9.2","29.8","9.1","2.6","27.1","0.723","","73.984","14.09987354","8.169999695","9305.309265","0.327",""
"2017","7614.75","54.65","","","","","","","","","","7.9","","","","","0.729","","74.026","14.32618046","8.259999657","9787.739829","0.325",""
"2018","7697.49","55.09","","","","","","","2.2","35.7","5.2","6.8","24.2","7.6","2.5","27.5","0.737","","74.1","14.55248737","8.349999619","10521.9865","0.32",""
"2019","7778.3","55.53","","","","","","","","","","5.7","","","","","0.744","","74.211","14.77879429","8.43999958","11203.2953","0.318",""
"2020","7855.08","55.96","","","","","1.947","10","1.3","36.8","3.7","4.8","20.4","6","2.5","28.5","0.755","","75.383","15.0051012","8.619999568","11515.65468","0.312",""
"2021","7920.86","56.38","","","","","1.906","10","","","","4.4","","","","","0.754","","74.145","15.23140812","8.799999555","11604.54861","0.302",""
"2022","7990.4","56.82","56","99.68","3","0","1.878","10","1.6","36.1","4.2","4.2","21.5","6.5","2.6","28.1","0.764","","74.502","15.45771503","8.979999542","12490.12898","0.3",""
"2023","8064.98","57.26","55","100.35","3","0","1.855","10","","","","","","","","","0.766","93","74.588","15.45771503","8.979999542","13032.63533","0.299","78"
"2024","8142.06","57.7","55","100.99","3","0","","","","","","","","","","","","","","","","","",""
