"FileName","Category","FileType","SizeBytes","Lines","LastModified","Description","FunctionCount","WriteHostCount","HasErrorHandling","HasAPICall","HasCSVRead","HasCSVWrite","HasJSONRead","HasJSONWrite","Purpose"
"download_demographic_indicators.ps1","Download",".ps1","2739","53","2025-11-13 18:29:59","Download all available demographic and population indicators","0","12","True","True","False","False","False","True","Download population and demographic indicators from World Bank API"
"download_economic_indicators.ps1","Download",".ps1","1044","21","2025-11-12 00:42:14","Download remaining economic indicators from World Bank API","0","4","True","True","False","False","False","False","Download economic indicators (GDP, GNI, trade) from World Bank API"
"download_health_env_indicators.ps1","Download",".ps1","935","18","2025-11-12 00:42:14","Download health and environmental indicators from World Bank API","0","4","True","True","False","False","False","False","Download health and environment indicators from World Bank API"
"download_ilo_employment.ps1","Download",".ps1","879","17","2025-11-12 00:34:11","Download ILO Industry and Services Employment data from World Bank API","0","4","True","True","False","False","False","False","Download employment data from ILO API"
"download_missing_wb_indicators.ps1","Download",".ps1","3576","60","2025-11-13 18:26:08","Download UNDP Human Development Report data for Vietnam","0","9","True","True","False","False","True","True","Download missing World Bank indicators"
"download_remaining_wb_indicators.ps1","Download",".ps1","2701","55","2025-11-12 00:52:25","Download Remaining World Bank Indicators for Vietnam","0","11","True","True","False","False","True","True","Download remaining World Bank indicators"
"download_specific_indicators.ps1","Download",".ps1","2007","44","2025-11-13 18:50:20","Try specific indicators with detailed error checking","1","7","True","True","False","False","False","True","Download specific requested indicators"
"download_undp_data.ps1","Download",".ps1","3856","73","2025-11-12 01:04:16","Download UNDP HDR indicators (available through World Bank)","0","18","True","True","False","False","True","True","Download Human Development Report data from UNDP"
"download_unesco_data.ps1","Download",".ps1","3866","66","2025-11-12 01:00:02","Download UNESCO Education Indicators from World Bank API","0","14","True","True","False","False","True","True","Download education data from UNESCO API"
"download_world_and_co2.ps1","Download",".ps1","4268","93","2025-11-13 19:00:59","Download world-level reference data and additional indicators","1","14","True","True","False","False","False","True","Download world reference data for benchmarking"
"download_world_reference.ps1","Download",".ps1","4250","91","2025-11-13 19:02:50","Download world reference data correctly","0","19","True","True","False","False","False","True","Download world reference data for benchmarking"
"integrate_additional_indicators.ps1","Integration",".ps1","2106","47","2025-11-13 18:22:21","Integrate remaining available indicators into CSV","0","6","True","False","False","False","True","False","Integrate additional indicators"
"integrate_additional_wb.ps1","Integration",".ps1","2666","57","2025-11-13 18:36:21","Integrate additional World Bank indicators","0","7","True","False","False","False","True","False","Integrate additional indicators"
"integrate_demographic_indicators.ps1","Integration",".ps1","3413","68","2025-11-13 18:31:25","Integrate all demographic indicators into CSV","0","8","True","False","False","False","True","False","Integrate demographic indicators into main CSV"
"integrate_remaining_wb.ps1","Integration",".ps1","3611","67","2025-11-12 00:58:10","Integrate Remaining World Bank Indicators into CSV","0","8","True","False","False","False","True","False","Integrate remaining World Bank indicators"
"integrate_undp_indicators.ps1","Integration",".ps1","4509","98","2025-11-13 18:44:04","Integrate UNDP/HDR indicators into vietnam_advance.csv","0","13","True","False","True","True","True","False","Integrate UNDP HDI data into main CSV"
"integrate_unesco_data.ps1","Integration",".ps1","2325","50","2025-11-12 01:03:50","Integrate available UNESCO education data into CSV","0","8","True","False","False","False","True","False","Integrate UNESCO education data into main CSV"
"integrate_world_reference.ps1","Integration",".ps1","4350","100","2025-11-13 19:02:50","Integrate world reference data and additional indicators","1","18","True","False","True","True","True","False","Integrate world reference data for comparison"
"validate_ranges.ps1","Validation",".ps1","13875","257","2025-11-13 21:34:29","Comprehensive value range validation for all columns","0","51","True","False","True","True","False","False","Validate all indicator values against expected ranges"
"check_all_health_env_data.ps1","Validation",".ps1","603","11","2025-11-12 00:45:09","Check latest data for health and environmental indicators","0","3","False","False","False","False","True","False","Comprehensive check of health/environment data"
"check_all_wb_data.ps1","Validation",".ps1","1889","45","2025-11-12 00:55:21","Check latest data availability in all World Bank JSON files","0","11","True","False","False","False","True","False","Comprehensive check of all World Bank data"
"check_available_indicators.ps1","Validation",".ps1","2706","60","2025-11-13 18:21:44","Check all available indicators and their latest data","0","15","True","False","False","False","True","False","Check which indicators are available in API"
"check_health_data.ps1","Validation",".ps1","408","7","2025-11-12 00:45:09","Check latest health expenditure data","0","2","False","False","False","False","True","False","Verify health indicator data"
"check_unesco_data.ps1","Validation",".ps1","2586","62","2025-11-12 01:00:21","Check existing UNESCO education data","0","13","True","False","False","False","True","False","Verify UNESCO data integrity"
"check_value_ranges.ps1","Validation",".ps1","5904","123","2025-11-13 21:06:40","Check value ranges for all columns in vietnam_population.csv","0","19","True","False","True","True","False","False","Check if values fall within acceptable ranges"
"verify_population_csv.ps1","Validation",".ps1","8150","119","2025-11-13 20:26:49","Comprehensive verification for vietnam_population.csv","0","54","False","False","True","True","False","False","Verify population data consistency"
"verify_real_data.ps1","Validation",".ps1","8764","123","2025-11-13 19:51:13","Detailed Column Verification - Check for REAL data (not just 0 or empty)","0","43","False","False","True","False","False","False","Verify data authenticity and accuracy"
"verify_rounding.ps1","Validation",".ps1","9001","130","2025-11-13 21:30:16","Final verification of rounded values","0","60","False","False","True","False","False","False","Verify numeric rounding consistency"
"fix_all_issues.ps1","Fix",".ps1","11062","223","2025-11-13 21:39:44","Fix all identified data issues","0","46","True","False","True","True","False","False","Apply fixes for all identified data issues"
