Year,Population,Vietnam_Global_Rank,ASEAN_Population_Rank,Vietnam_Share_of_Asian_Pop_Pct,Country_Share_of_World_Pop,Median_Age,Regional_Median_Age,Global_Median_Age,Dependency_Ratio_Pct,Sex_Ratio_MF,Pop_Aged_0_14_Pct,Pop_Aged_15_64_Pct,Pop_Aged_65_Plus_Pct,GDP_per_Capita_USD,HDI,Unemployment_Rate_Pct,GDP_Growth_Rate_Pct,FDI_Net_Inflows_million_USD,GDP_PPP_per_Capita_IntDollar,Fertility_Rate,Life_Expectancy,Birth_Rate_per_1000,Death_Rate_per_1000,Employment_Agriculture_Pct,Employment_Industry_Pct,Employment_Services_Pct,Poverty_Rate_Pct,Health_Expenditure_Pct_GDP,Rural_Population,Urban_Population,Energy_Consumption_per_Capita_kWh,CO2_Emissions_per_Capita_tonnes,Agricultural_Land_Pct_Land,Forest_Area_Pct_Land,Human_Capital_Index_0_1,Renewable_Energy_Share_Pct
1955,30174000,15,3,1.71,1.02,19.5,19.5,19.5,82.5,1.06,40.2,55.3,4.5,95,0.28,3.5,-2.5,0,450,6.8,52.3,45.2,15.8,85.0,5.0,10.0,75.0,2.5,26500000,3674000,120,8.5,18.5,28.5,0.35,82.0
1956,30685000,15,3,1.72,1.03,19.6,19.6,19.6,83.0,1.06,40.5,54.9,4.6,98,0.29,3.4,-1.8,0,460,6.7,52.8,44.8,15.5,84.8,5.1,10.1,74.5,2.6,26850000,3835000,125,9.0,18.7,28.6,0.36,81.8
1957,31206000,15,3,1.73,1.04,19.7,19.7,19.7,83.5,1.06,40.7,54.6,4.7,101,0.30,3.3,-1.2,0,470,6.6,53.2,44.5,15.2,84.6,5.2,10.2,74.0,2.7,27200000,4006000,130,9.5,18.9,28.7,0.37,81.6
1958,31738000,15,3,1.74,1.05,19.8,19.8,19.8,84.0,1.06,40.9,54.3,4.8,104,0.31,3.2,-0.5,0,480,6.5,53.5,44.2,15.0,84.4,5.3,10.3,73.5,2.8,27550000,4188000,135,10.0,19.1,28.8,0.38,81.4
1959,32280000,15,3,1.75,1.06,19.9,19.9,19.9,84.5,1.06,41.0,54.0,5.0,107,0.32,3.1,0.2,0,490,6.4,53.8,43.9,14.8,84.2,5.4,10.4,73.0,2.9,27900000,4380000,140,10.5,19.2,28.9,0.39,81.2
1960,32531933,15,3,1.79,1.08,20.0,20.0,20.0,84.9,1.06,41.1,54.1,4.8,110,0.33,3.0,0.8,0,500,6.3,58.1,41.6,12.2,84.0,5.5,10.5,72.5,3.0,27749739,4782194,145,14.7,19.3,29.0,0.40,81.0
1961,33409059,15,3,1.82,1.09,20.1,20.1,20.1,87.5,1.06,41.8,53.3,4.9,113,0.34,3.0,1.2,0,520,5.5,58.5,35.6,11.7,83.8,5.6,10.6,72.0,3.1,28387343,5021716,150,15.3,19.3,29.0,0.40,80.5
1962,34288560,15,3,1.83,1.10,20.2,20.2,20.2,90.0,1.06,42.4,52.6,4.9,116,0.35,3.0,1.5,0,540,6.3,58.2,40.0,12.0,83.6,5.7,10.7,71.5,3.2,29018751,5269809,155,17.8,19.4,29.0,0.41,80.0
1963,35249101,15,3,1.85,1.11,20.3,20.3,20.3,92.6,1.06,43.1,51.9,5.0,119,0.36,3.0,1.8,0,560,6.4,56.9,40.0,12.7,83.4,5.8,10.8,71.0,3.3,29710057,5539044,160,16.9,19.4,29.0,0.41,79.5
1964,36201563,15,3,1.86,1.11,20.4,20.4,20.4,94.0,1.06,43.4,51.5,5.0,122,0.37,3.0,2.1,0,580,6.3,57.5,38.6,12.3,83.2,5.9,11.0,70.5,3.4,30386144,5815419,165,21.2,19.4,29.0,0.42,79.0
1965,37129656,15,3,1.86,1.12,20.5,20.5,20.5,94.4,1.06,43.5,51.4,5.1,125,0.38,3.0,2.4,0,600,6.2,57.0,37.1,12.5,83.0,6.0,11.0,70.0,3.5,31032595,6097061,170,23.1,19.4,29.0,0.42,78.5
1966,38024836,15,3,1.87,1.12,20.6,20.6,20.6,95.0,1.06,43.6,51.3,5.1,128,0.39,2.9,2.7,1,620,6.0,56.9,35.4,12.4,82.8,6.2,11.0,69.5,3.6,31642748,6382088,175,32.6,19.4,29.1,0.43,78.0
1967,38895080,15,3,1.87,1.12,20.7,20.7,20.7,95.2,1.06,43.5,51.2,5.2,131,0.40,2.9,3.0,2,640,5.9,56.8,34.6,12.4,82.6,6.3,11.1,69.0,3.7,32223407,6671673,180,37.9,19.5,29.2,0.43,77.5
1968,39734609,15,3,1.88,1.13,20.8,20.8,20.8,94.8,1.06,43.4,51.3,5.3,134,0.41,2.9,3.3,3,660,6.0,52.7,35.2,14.7,82.4,6.4,11.2,68.5,3.8,32769529,6965080,185,38.1,19.6,29.3,0.44,77.0
1969,40582096,15,3,1.88,1.13,20.9,20.9,20.9,94.2,1.06,43.2,51.5,5.3,137,0.42,2.9,3.6,4,680,6.0,54.8,35.1,13.4,82.2,6.5,11.3,68.0,3.9,33313437,7268659,190,42.5,19.6,29.4,0.44,76.5
1970,41475230,15,3,1.88,1.13,21.0,21.0,21.0,93.3,1.06,42.9,51.7,5.3,140,0.43,2.8,0.1,5,700,6.0,54.9,35.2,13.3,82.0,6.6,11.4,67.5,4.0,33885263,7589967,195,66.3,19.7,29.5,0.45,76.0
1971,42449276,15,3,1.88,1.13,21.1,21.1,21.1,92.4,1.06,42.7,52.0,5.3,143,0.435,2.8,1.8,6,720,6.1,55.6,35.7,13.0,81.5,6.8,11.7,67.0,4.0,34640307,7808969,200,56.3,19.7,29.6,0.45,75.8
1972,43429168,15,3,1.89,1.13,21.2,21.2,21.2,91.2,1.06,42.4,52.3,5.3,146,0.44,2.8,-0.9,7,740,6.1,51.9,36.4,15.2,81.0,7.0,12.0,66.5,4.1,35398246,8030922,205,51.7,19.8,29.7,0.46,75.6
1973,44409861,15,3,1.89,1.14,21.3,21.3,21.3,89.9,1.06,42.1,52.7,5.2,149,0.445,2.7,1.0,8,760,6.1,55.7,36.9,13.0,80.5,7.2,12.3,66.0,4.2,36154956,8254905,210,55.0,19.9,29.8,0.46,75.4
1974,45413537,15,3,1.90,1.14,21.4,21.4,21.4,88.6,1.06,41.8,53.0,5.2,152,0.45,2.7,1.3,9,780,5.8,54.8,35.5,13.5,80.0,7.4,12.6,65.5,4.3,36928018,8485519,215,40.8,20.0,29.9,0.47,75.2
1975,46482903,15,3,1.91,1.14,21.5,21.5,21.5,87.2,1.06,41.4,53.4,5.2,155,0.455,2.7,4.1,10,800,5.6,61.9,35.1,9.8,79.5,7.6,12.9,65.0,4.4,37752484,8730419,220,45.6,20.0,30.0,0.47,75.0
1976,47684931,15,3,1.92,1.15,21.6,21.6,21.6,86.5,1.06,41.2,53.6,5.2,158,0.46,2.6,-0.3,11,820,5.5,63.7,34.9,9.0,79.0,7.8,13.2,64.5,4.4,38682016,9002915,225,28.5,20.7,30.2,0.48,74.8
1977,48954872,15,3,1.94,1.16,21.7,21.7,21.7,85.9,1.06,41.0,53.8,5.2,161,0.465,2.6,0.0,12,840,5.3,64.1,34.6,8.8,78.5,8.0,13.5,64.0,4.5,39664216,9290656,230,30.5,20.9,30.4,0.48,74.6
1978,50249552,15,3,1.96,1.17,21.8,21.8,21.8,84.8,1.06,40.6,54.1,5.3,164,0.47,2.6,0.5,13,860,5.1,64.5,34.3,8.6,78.0,8.2,13.8,63.5,4.6,40663947,9585605,235,30.1,21.0,30.6,0.49,74.4
1979,51378211,15,3,1.96,1.18,21.9,21.9,21.9,84.2,1.06,40.4,54.3,5.3,167,0.475,2.5,-0.1,14,880,4.9,65.0,34.1,8.5,77.5,8.4,14.1,63.0,4.7,41526439,9851772,240,31.2,21.1,30.8,0.49,74.2
1980,52490101,15,3,1.97,1.18,22.0,22.0,22.0,83.9,1.06,40.3,54.4,5.3,170,0.48,2.5,1.7,15,900,4.8,65.3,33.5,8.3,77.0,8.6,14.4,62.5,4.8,42387331,10102770,245,31.5,21.1,30.9,0.50,74.0
1981,53738141,15,3,1.98,1.19,22.1,22.1,22.1,83.6,1.06,40.2,54.5,5.3,175,0.482,2.5,17.9,18,920,4.7,65.8,33.4,8.1,76.5,8.8,14.7,62.0,4.8,43361843,10376298,250,32.6,21.1,31.1,0.50,73.8
1982,55011289,15,3,1.99,1.20,22.2,22.2,22.2,83.5,1.06,40.2,54.5,5.3,180,0.484,2.4,13.1,22,940,4.6,66.2,33.6,8.0,76.0,9.0,15.0,61.5,4.9,44354502,10656787,255,33.1,21.2,31.3,0.51,73.6
1983,56337921,15,3,2.01,1.20,22.3,22.3,22.3,83.5,1.06,40.2,54.5,5.3,185,0.486,2.4,0.1,25,960,4.5,66.6,33.7,7.9,75.5,9.2,15.3,61.0,5.0,45388646,10949275,260,34.1,21.2,31.5,0.51,73.4
1984,57706067,15,3,2.02,1.21,22.4,22.4,22.4,83.4,1.06,40.1,54.5,5.3,190,0.488,2.4,0.7,28,980,4.4,66.9,33.3,7.7,75.0,9.4,15.6,60.5,5.1,46454538,11251529,265,30.4,21.2,31.6,0.52,73.2
1985,59060622,15,3,2.03,1.22,22.5,22.5,22.5,83.1,1.06,40.1,54.6,5.3,238.65,0.49,2.3,3.8,30,1150,4.2,67.2,32.2,7.6,74.5,9.6,15.9,60.0,5.2,47507774,11552848,270,35.9,20.7,31.7,0.52,73.0
1986,60347048,15,3,2.04,1.22,22.6,22.6,22.6,82.7,1.06,39.9,54.7,5.3,436.42,0.492,2.3,2.8,32,1240,4.0,67.6,30.7,7.4,74.0,9.8,16.2,59.5,5.3,48503940,11843108,275,38.3,20.7,31.8,0.53,72.5
1987,61584651,15,3,2.04,1.23,22.7,22.7,22.7,81.9,1.06,39.6,55.0,5.4,595.25,0.494,2.2,3.6,35,1330,3.7,68.0,29.2,7.2,73.5,10.0,16.5,59.0,5.4,49459865,12124786,280,42.1,20.6,31.9,0.53,72.0
1988,62843228,15,3,2.05,1.23,22.8,22.8,22.8,80.7,1.06,39.2,55.3,5.4,404.56,0.496,2.2,5.1,38,1420,3.6,68.6,28.7,6.9,73.0,10.2,16.8,58.5,5.5,50430434,12412794,285,36.6,20.6,32.0,0.54,71.5
1989,64147348,15,3,2.05,1.23,22.9,22.9,22.9,79.5,1.06,38.8,55.7,5.5,98.11,0.498,2.2,7.4,40,1510,3.6,68.8,29.0,6.8,72.5,10.4,17.1,58.0,5.6,51387799,12759549,290,27.1,20.6,32.1,0.54,71.0
1990,65504552,15,3,2.06,1.24,23.0,23.0,23.0,78.4,1.07,38.5,56.1,5.5,98.8,0.499,2.26,5.1,180,1150,3.6,69.0,28.9,6.8,72.0,10.6,17.4,57.5,4.11,52235295,13269257,272.8,36.4,20.7,28.8,0.55,75.9
1991,66891775,15,3,2.07,1.24,23.1,23.1,23.1,77.3,1.06,38.1,56.4,5.5,143.72,0.509,2.14,6.0,375,1240,3.5,69.3,28.5,6.7,73.95,9.08,16.97,57.0,4.8,53092671,13799104,270.8,35.6,20.7,29.6,0.56,75.5
1992,68260337,15,3,2.08,1.25,23.2,23.2,23.2,76.0,1.06,37.7,56.8,5.5,144.55,0.521,2.11,8.7,474,1380,3.4,69.6,27.3,6.5,73.19,9.46,17.34,57.5,3.87,53921571,14338766,276.9,35.7,21.6,30.3,0.57,74.5
1993,69586384,15,3,2.08,1.25,23.3,23.3,23.3,74.6,1.06,37.2,57.3,5.5,189.42,0.531,2.04,8.1,926,1490,3.2,70.0,26.1,6.4,72.47,9.73,17.81,56.5,3.94,54703944,14882440,294.8,37.8,21.8,31.0,0.58,70.6
