Year,Population,Vietnam_Global_Rank,ASEAN_Population_Rank,Vietnam_Share_of_Asian_Pop_Pct,Country_Share_of_World_Pop,Median_Age,Regional_Median_Age,Global_Median_Age,Dependency_Ratio_Pct,Sex_Ratio_MF,Pop_Aged_0_14_Pct,Pop_Aged_15_64_Pct,Pop_Aged_65_Plus_Pct,GDP_per_Capita_USD,HDI,Unemployment_Rate_Pct,GDP_Growth_Rate_Pct,FDI_Net_Inflows_million_USD,GDP_PPP_per_Capita_IntDollar,Fertility_Rate,Life_Expectancy,Birth_Rate_per_1000,Death_Rate_per_1000,Employment_Agriculture_Pct,Employment_Industry_Pct,Employment_Services_Pct,Poverty_Rate_Pct,Health_Expenditure_Pct_GDP,Rural_Population,Urban_Population,Energy_Consumption_per_Capita_kWh,CO2_Emissions_per_Capita_tonnes,Agricultural_Land_Pct_Land,Forest_Area_Pct_Land,Human_Capital_Index_0_1,Renewable_Energy_Share_Pct
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,32531933.0,,,1.7944633091842601,1.076677985510556,653817.0,653815.0,653820.0,84.8819902963466,1.064,41.0891184978157,54.0885581560739,4.82232334611042,,,,,,,6.273,58.05,41.589,12.225,,,,,,27749739.0,4782194.0,,14.74,,,,
1961,33409059.0,,,1.8180197990707758,1.0908118794424655,619282.0,619280.0,619285.0,87.5309194769171,1.064,41.791816105925,53.3245399099687,4.88364398410623,,,,,,,5.476,58.46,35.639,11.724,,,,,,28387343.0,5021716.0,,15.31,19.33,,,
1962,34288560.0,,,1.833199139017826,1.0999194834106956,624174.5,624172.5,624177.5,89.9674681591678,1.064,42.4231863692028,52.6405928484689,4.93622078232829,,,,,,,6.257,58.2,39.972,11.973,,,,,,29018751.0,5269809.0,,17.78,19.35,,,
1963,35249101.0,,,1.845081489251668,1.107048893551001,677340.5,677338.5,677343.5,92.5543585258034,1.064,43.0972338840642,51.9333868968743,4.9693792190615,,,,,,,6.385,56.9,39.952,12.687,,,,,,29710057.0,5539044.0,,16.9,19.36,,,
1964,36201563.0,,,1.8557766500064077,1.1134659900038446,683751.0,683749.0,683754.0,94.0065444906932,1.064,43.4443777545685,51.5446535893401,5.01096865609133,,,,,,,6.285,57.47,38.561,12.313,,,,,,30386144.0,5815419.0,,21.22,19.38,,,
1965,37129656.0,,,1.8645001506477854,1.1187000903886712,676482.0,676480.0,676485.0,94.4259404414363,1.064,43.5008710624619,51.4334666683491,5.06566226918905,,,,,,,6.156,56.97,37.087,12.477,,,,,,31032595.0,6097061.0,,23.09,19.39,,,
1966,38024836.0,,,1.8699629300687401,1.121977758041244,664836.0,664834.0,664839.0,95.0154302617967,1.064,43.5899670941382,51.2779936776059,5.13203922825597,,,,,,,5.968,56.91,35.441,12.396,,,,,,31642748.0,6382088.0,,32.61,19.41,,,
1967,38895080.0,,,1.8740895783584173,1.1244537470150504,657047.5,657045.5,657050.5,95.1620825455406,1.064,43.5481230074842,51.2394607333439,5.2124162591719,,,,,,,5.883,56.75,34.575,12.411,,,,,,32223407.0,6671673.0,,37.92,19.48,,,
1968,39734609.0,,,1.8756719158618214,1.1254031495170929,668606.5,668604.5,668609.5,94.8145194064578,1.064,43.3927662406342,51.3308750565534,5.27635870281245,,,,,,,6.029,52.67,35.221,14.707,,,,,,32769529.0,6965080.0,,38.07,19.56,,,
1969,40582096.0,,,1.8762885987834808,1.1257731592700884,687366.0,687364.0,687369.0,94.1852512004364,1.064,43.1896723226214,51.4972162662912,5.3131114110874,,,,,,,6.013,54.79,35.077,13.433,,,,,,33313437.0,7268659.0,,42.54,19.61,,,
1970,41475230.0,,,1.8781060464037922,1.1268636278422752,702720.0,702718.0,702723.0,93.2914108064935,1.064,42.9313537614059,51.7353568833175,5.3332893552765,,,,,0.07,,6.019,54.93,35.187,13.345,,,,,,33885263.0,7589967.0,,66.27,19.71,,,
1971,42449276.0,,,1.8823126989321408,1.1293876193592844,725574.0,725572.0,725577.0,92.4350911486962,1.064,42.7067477276497,51.9655735938297,5.32767867852067,,,,,1.82,,6.069,55.59,35.679,12.987,,,,,,34640307.0,7808969.0,,56.3,19.73,,,
1972,43429168.0,,,1.8876748077733878,1.1326048846640326,753994.0,753992.0,753997.0,91.2195058375903,1.064,42.4170105858693,52.2959206552619,5.28706875886882,,,,,-0.89,,6.1,51.91,36.371,15.152,,,,,,35398246.0,8030922.0,,51.71,19.81,,,
1973,44409861.0,,,1.8924855602175363,1.1354913361305219,783961.5,783959.5,783964.5,89.8803425176672,1.064,42.0984513112803,52.6647466050923,5.23680208362735,,,,,1.03,,6.108,55.68,36.891,12.984,,,,,,36154956.0,8254905.0,,54.99,19.91,,,
1974,45413537.0,,,1.8982624372276242,1.1389574623365744,792701.5,792699.5,792704.5,88.5692305973907,1.064,41.7671492778998,53.0309216717592,5.20192905034099,,,,,1.25,,5.781,54.75,35.484,13.453,,,,,,36928018.0,8485519.0,,40.83,19.99,,,
1975,46482903.0,,,1.907192761326122,1.1443156567956732,793127.5,793125.5,793130.5,87.2094663755865,1.064,41.390846436592,53.4161022602224,5.1930513031856,,,,,4.09,,5.621,61.87,35.086,9.804,,,,,,37752484.0,8730419.0,,45.62,20.01,,,
1976,47684931.0,,,1.9216512805385226,1.1529907683231135,808709.0,808707.0,808712.0,86.4970941454025,1.064,41.1678381286516,53.6201379175754,5.21202395377298,,,,,-0.34,,5.461,63.67,34.852,9.003,,,,,,38682016.0,9002915.0,,28.48,20.65,,,
1977,48954872.0,,,1.9385181454167617,1.1631108872500568,824802.0,824800.0,824805.0,85.8734163604269,1.063,40.9600821654678,53.8000553468912,5.23986248764104,,,,,-0.01,,5.291,64.07,34.558,8.834,,,,,,39664216.0,9290656.0,,30.52,20.93,,,
1978,50249552.0,,,1.955191361440092,1.173114816864055,839930.0,839928.0,839933.0,84.7838467544662,1.064,40.613691037348,54.1172849250747,5.26902403757725,,,,,0.46,,5.104,64.53,34.253,8.641,,,,,,40663947.0,9585605.0,,30.14,21.0,,,
1979,51378211.0,,,1.9639718643015618,1.178383118580937,853385.0,853383.0,853388.0,84.2157826361651,1.064,40.4075731676174,54.2841648795845,5.30826195279806,,,,,-0.06,,4.94,64.99,34.062,8.476,,,,,,41526439.0,9851772.0,,31.17,21.05,,,
