"Column","TotalRows","RealData","Zeros","EmptyNA","FillRate","Status"
"Year","71","71","0","0","100","EXCELLENT"
"Population","71","71","0","0","100","EXCELLENT"
"Vietnam Global Rank","71","71","0","0","100","EXCELLENT"
"ASEAN Population Rank","71","71","0","0","100","EXCELLENT"
"Vietnam's Share of Asian Pop (%)","71","71","0","0","100","EXCELLENT"
"Country's Share of World Pop","71","71","0","0","100","EXCELLENT"
"Median Age","71","71","0","0","100","EXCELLENT"
"Regional Median Age","71","71","0","0","100","EXCELLENT"
"Global Median Age","71","71","0","0","100","EXCELLENT"
"Dependency Ratio (%)","71","71","0","0","100","EXCELLENT"
"Sex Ratio (M/F)","71","71","0","0","100","EXCELLENT"
"Pop Aged 0?14 (%)","71","71","0","0","100","EXCELLENT"
"Pop Aged 15?64 (%)","71","71","0","0","100","EXCELLENT"
"Pop Aged 65+ (%)","71","71","0","0","100","EXCELLENT"
"GDP per Capita (USD)","71","41","30","0","57.7","GOOD"
"HDI","71","71","0","0","100","EXCELLENT"
"Unemployment Rate (%)","71","36","35","0","50.7","GOOD"
"GDP Growth Rate (%)","71","41","30","0","57.7","GOOD"
"FDI Net Inflows (million USD)","71","54","17","0","76.1","GOOD"
"GDP PPP per Capita (Int$)","71","36","35","0","50.7","GOOD"
"Fertility Rate","71","71","0","0","100","EXCELLENT"
"Life Expectancy","71","71","0","0","100","EXCELLENT"
"Birth Rate (?)","71","71","0","0","100","EXCELLENT"
"Death Rate (?)","71","71","0","0","100","EXCELLENT"
"Employment Agriculture (%)","71","71","0","0","100","EXCELLENT"
"Employment Industry (%)","71","71","0","0","100","EXCELLENT"
"Employment Services (%)","71","71","0","0","100","EXCELLENT"
"Poverty Rate (%)","71","71","0","0","100","EXCELLENT"
"Health Expenditure (% GDP)","71","71","0","0","100","EXCELLENT"
"Rural Population","71","71","0","0","100","EXCELLENT"
"Urban Population","71","71","0","0","100","EXCELLENT"
"Energy Consumption per Capita (kWh)","71","71","0","0","100","EXCELLENT"
"CO? Emissions per Capita (t)","71","71","0","0","100","EXCELLENT"
"Agricultural Land (% Land)","71","71","0","0","100","EXCELLENT"
"Forest Area (% Land)","71","71","0","0","100","EXCELLENT"
"Human Capital Index (0-1)","71","71","0","0","100","EXCELLENT"
"Renewable Energy Share (%)","71","71","0","0","100","EXCELLENT"
"Yearly % Change","71","71","0","0","100","EXCELLENT"
"Migrants (net)","71","61","10","0","85.9","GOOD"
"Density (P/Km?)","71","71","0","0","100","EXCELLENT"
"Sex Ratio","71","71","0","0","100","EXCELLENT"
"Life Expectancy Male","71","71","0","0","100","EXCELLENT"
"Life Expectancy Female","71","71","0","0","100","EXCELLENT"
"Infant Mortality","71","71","0","0","100","EXCELLENT"
"Under-5 Mortality","71","71","0","0","100","EXCELLENT"
"Deaths","71","71","0","0","100","EXCELLENT"
"Deaths Male","71","71","0","0","100","EXCELLENT"
"Deaths Female","71","71","0","0","100","EXCELLENT"
"Births","71","71","0","0","100","EXCELLENT"
"HDI_UNDP","71","71","0","0","100","EXCELLENT"
"Life_Expectancy_UNDP","71","71","0","0","100","EXCELLENT"
"Education_Index_UNDP","71","71","0","0","100","EXCELLENT"
"Income_Index_UNDP","71","37","34","0","52.1","GOOD"
"Land Area (Km?)","71","71","0","0","100","EXCELLENT"
"Literacy Rate (%)","71","71","0","0","100","EXCELLENT"
"Housing Units (million)","71","71","0","0","100","EXCELLENT"
"Net Migration Rate (?)","71","60","11","0","84.5","GOOD"
"Population Share Change","71","71","0","0","100","EXCELLENT"
"Infant Mortality Rate (?)","71","71","0","0","100","EXCELLENT"
"Urbanization Ratio","71","71","0","0","100","EXCELLENT"
"Mean Years of Schooling","71","71","0","0","100","EXCELLENT"
"GNI per Capita (USD)","71","37","34","0","52.1","GOOD"
"Climate Risk Index","71","71","0","0","100","EXCELLENT"
"World Population","71","71","0","0","100","EXCELLENT"
"Population Density by Region (?BSH)","71","71","0","0","100","EXCELLENT"
"Population Doubling Time (Years)","71","71","0","0","100","EXCELLENT"
"Dependency Index","71","71","0","0","100","EXCELLENT"
"Population Growth (Absolute)","71","71","0","0","100","EXCELLENT"
"Urban Growth Rate (%)","71","71","0","0","100","EXCELLENT"
"Population Density by Region (Mi?n Trung)","71","71","0","0","100","EXCELLENT"
"Yearly Change","71","71","0","0","100","EXCELLENT"
"Expected Years of Schooling","71","71","0","0","100","EXCELLENT"
"Regional Avg Fertility Rate","71","71","0","0","100","EXCELLENT"
"Population Density by Region (?BSCL)","71","71","0","0","100","EXCELLENT"
"Urban Pop %","71","71","0","0","100","EXCELLENT"
"EPI Score","71","71","0","0","100","EXCELLENT"
"Imports (% GDP)","71","71","0","0","100","EXCELLENT"
"Education Index","71","71","0","0","100","EXCELLENT"
"Migration Rate (?)","71","60","11","0","84.5","GOOD"
"Vietnam?s Share of Asian Pop (%)","71","71","0","0","100","EXCELLENT"
"World Urbanization Rate (%)","71","71","0","0","100","EXCELLENT"
"Inflation Rate (%)","71","71","0","0","100","EXCELLENT"
"Household Size (People)","71","71","0","0","100","EXCELLENT"
"Exports (% GDP)","71","71","0","0","100","EXCELLENT"
"GDP (billion USD)","71","41","30","0","57.7","GOOD"
"Population Density by Region (Mi?n N?i)","71","71","0","0","100","EXCELLENT"
"Primary Completion Rate (%)","71","17","0","54","23.9","SPARSE"
