"Year","Agriculture","Industry","Services","Total","Difference"
"2000","12.44","22.31","22.3","57.05","42.95"
"2001","13.89","22.12","22.1","58.11","41.89"
"2002","14.7","23.26","23.3","61.26","38.74"
"2003","16.41","23.91","23.9","64.22","35.78"
"2004","17.35","24.75","24.8","66.9","33.1"
"2005","18.68","26.43","26.4","71.51","28.49"
"2006","20.18","28.15","28.2","76.53","23.47"
"2007","20.39","30.33","30.3","81.02","18.98"
"2008","21.05","30.43","30.4","81.88","18.12"
"2009","21.85","30.6","30.6","83.05","16.95"
"2010","21.68","29.61","29.6","80.89","19.11"
"2011","21.28","30.41","30.4","82.09","17.91"
"2012","21.19","31.44","31.4","84.03","15.97"
"2013","21.18","32","32","85.18","14.82"
"2014","21.45","32.22","32.2","85.87","14.13"
"2015","22.74","33.24","33.2","89.18","10.82"
"2016","24.76","33.37","33.4","91.53","8.47"
"2017","25.78","34.07","34.1","93.95","6.05"
"2018","26.7","35.57","35.6","97.87","2.13"
"2020","31.07","36.32","36.3","103.69","3.69"
"2021","33.13","37.82","37.8","108.75","8.75"
"2022","30.69","35.86","35.9","102.45","2.45"
"2023","31.23","35.79","35.8","102.82","2.82"
